Rank,Country,Rating,GDP,Population,Area
163,India,1190,6754.286547,1380004385,Asia & Pacific
164,Dominican Republic,1183,12155.5587,10847910,Africa
164,Chad,1183,1579.626695,16425864,Africa
166,Saint Vincent and the Grenadines,1179,12466.23464,110940,Americas
167,Vanuatu,1174,3143.627636,307145,Asia & Pacific
168,Hong Kong,1170,59892.866,7496981,Asia & Pacific
169,Solomon Islands,1162,2367.403846,686884,Asia & Pacific
170,Singapore,1159,97341.46865,5850342,Asia & Pacific
171,Antigua and Barbuda,1158,21908.4585,97929,Americas
172,Philippines,1152,8908.175977,109581078,Asia & Pacific
173,Papua New Guinea,1151,4387.602469,8947024,Africa
174,Eritrea,1143,1600,3546421,Africa
175,Belize,1139,7004.912301,397628,Americas
176,Afghanistan,1137,2202.278489,38928346,Asia & Pacific
177,Eswatini,1125,8688.101493,1160164,Africa
178,Indonesia,1117,11812.19764,273523615,Asia & Pacific
179,Liechtenstein,1115,,38128,Europe
180,Barbados,1101,15638.8299,287375,Americas
181,Gibraltar,1095,61700,33691,Europe
182,South Sudan,1093,,11193725,Africa
183,São Tomé e Príncipe,1086,3963.783576,211028,Africa
184,Myanmar,1047,5142.154166,54409800,Asia & Pacific
185,Saint Lucia,1036,15448.79407,183627,Americas
186,Andorra,1035,45887.3,77265,Europe
187,Dominica,1024,12155.5587,71986,Africa
188,Mauritius,1008,22989.34163,1271768,Africa
189,Somaliland,1002,,,Africa
190,Western Sahara,996,,,Africa
191,Puerto Rico,975,34517.6132,2860853,Americas
192,Greenland,963,30314.56628,56770,Americas
193,Bonaire,960,,,Americas
194,Maldives,947,18914.33325,540544,Asia & Pacific
195,Chinese Taipei,941,,,Asia & Pacific
196,Somalia,920,547.32,15893222,Africa
197,Cayman Islands,914,70809.61816,65722,Americas
198,Seychelles,908,29055.74866,98347,Africa
199,Nepal,904,3416.791281,29136808,Asia & Pacific
200,Monaco,903,115700,39242,Europe
201,Bahamas,902,35782.7979,393244,Americas
202,Djibouti,900,5519.332888,988000,Africa
203,Aruba,892,37500,106766,Americas
204,Pakistan,873,4690.484755,220892340,Asia & Pacific
205,Saint Martin,855,,,Americas
206,Montserrat,854,34000,4992,Americas
207,Bangladesh,842,4753.725923,164689383,Asia & Pacific
208,Cambodia,838,4388.800909,16718965,Asia & Pacific
209,San Marino,830,59349.97127,33931,Europe
210,Turks and Caicos,802,26431.47219,38717,Americas
211,Chagos Islands,776,,,Asia & Pacific
212,Sint Maarten,767,,42876,Americas
213,Tuvalu,739,4287.534525,11792,Asia & Pacific
214,Guam,734,35600,168775,Asia & Pacific
215,Mongolia,730,12309.77143,3278290,Asia & Pacific
216,Saint Barthelemy,715,,9877,Americas
217,US Virgin Islands,706,37000,104425,Americas
218,Wallis and Futuna,701,,11239,Asia & Pacific
219,Macau,696,123965.2864,649335,Asia & Pacific
220,Vatican,692,,,Europe
221,Laos,689,7400,7275560,Asia & Pacific
222,Cook Islands,687,16700,17564,Asia & Pacific
223,Samoa,680,6517.033669,198414,Asia & Pacific
224,Saint Pierre and Miquelon,677,,5794,Americas
225,Sri Lanka,659,13078.09812,21413249,Asia & Pacific
226,Timor-Leste,638,3123.109437,1318445,Asia & Pacific
227,Tibet,630,,,Asia & Pacific
228,Brunei,619,62099.58785,437479,Asia & Pacific
229,British Virgin Islands,611,34200,30231,Americas
230,Falkland Islands,580,,3480,Americas
231,Micronesia,565,3400,115023,Asia & Pacific
232,Bhutan,563,9000,771608,Asia & Pacific
233,Anguilla,552,12200,15003,Americas
234,Kiribati,545,2275.171299,119449,Asia & Pacific
235,Tonga,529,6266.903114,105695,Asia & Pacific
236,Niue,496,,1626,Asia & Pacific
237,American Samoa,473,11200,55191,Asia & Pacific
238,Northern Mariana Islands,409,24500,57559,Asia & Pacific
239,Palau,403,18070.03845,18094,Asia & Pacific
